name,icon,id,description,members,gp_value,lowalch,limit,highalch
3rd age 2h axe,https://oldschool.runescape.wiki/images/3rd_age_2h_axe.png,28226,"A beautifully crafted axe, shaped by ancient smiths.",https://oldschool.runescape.wiki/images/Free-to-play_icon.png,1,1,0,1
3rd age amulet,https://oldschool.runescape.wiki/images/3rd_age_amulet.png,10344,Fabulously ancient mage protection enchanted in the 3rd Age.,https://oldschool.runescape.wiki/images/Member_icon.png,50500,20200,8,30300
3rd age axe,https://oldschool.runescape.wiki/images/3rd_age_axe.png,20011,"A beautifully crafted axe, shaped by ancient smiths.",https://oldschool.runescape.wiki/images/Member_icon.png,55000,22000,40,33000
3rd age bow,https://oldschool.runescape.wiki/images/3rd_age_bow.png,12424,A beautifully crafted bow carved by ancient archers.,https://oldschool.runescape.wiki/images/Member_icon.png,150000,60000,8,90000
3rd age cloak,https://oldschool.runescape.wiki/images/3rd_age_cloak.png,12437,A beautiful cloak woven by ancient tailors.,https://oldschool.runescape.wiki/images/Member_icon.png,85000,34000,8,51000
3rd age druidic cloak,https://oldschool.runescape.wiki/images/3rd_age_druidic_cloak.png,23345,A fabulously ancient vine cloak as worn by the druids of old.,https://oldschool.runescape.wiki/images/Member_icon.png,200000,80000,8,120000
3rd age druidic robe bottoms,https://oldschool.runescape.wiki/images/3rd_age_druidic_robe_bottoms.png,23339,A fabulously ancient woven robe as worn by the druids of old.,https://oldschool.runescape.wiki/images/Member_icon.png,200000,80000,4,120000
3rd age druidic robe top,https://oldschool.runescape.wiki/images/3rd_age_druidic_robe_top.png,23336,A fabulously ancient woven robe top as worn by the druids of old.,https://oldschool.runescape.wiki/images/Member_icon.png,200000,80000,4,120000
3rd age druidic staff,https://oldschool.runescape.wiki/images/3rd_age_druidic_staff.png,23342,A fabulously ancient gnarled staff as used by the druids of old.,https://oldschool.runescape.wiki/images/Member_icon.png,200000,80000,8,120000
3rd age full helmet,https://oldschool.runescape.wiki/images/3rd_age_full_helmet.png,10350,Fabulously ancient armour beaten from magical silver.,https://oldschool.runescape.wiki/images/Member_icon.png,90000,36000,8,54000
3rd age kiteshield,https://oldschool.runescape.wiki/images/3rd_age_kiteshield.png,10352,Fabulously ancient armour beaten from magical silver.,https://oldschool.runescape.wiki/images/Member_icon.png,180000,72000,8,108000
3rd age longsword,https://oldschool.runescape.wiki/images/3rd_age_longsword.png,12426,A beautifully crafted sword forged by ancient blacksmiths.,https://oldschool.runescape.wiki/images/Member_icon.png,150000,60000,8,90000
3rd age mage hat,https://oldschool.runescape.wiki/images/3rd_age_mage_hat.png,10342,Fabulously ancient mage protection enchanted in the 3rd Age.,https://oldschool.runescape.wiki/images/Member_icon.png,50400,20160,8,30240
3rd age pickaxe,https://oldschool.runescape.wiki/images/3rd_age_pickaxe.png,20014,"A beautifully crafted pickaxe, shaped by ancient smiths.",https://oldschool.runescape.wiki/images/Member_icon.png,97950,39180,40,58770
3rd age platebody,https://oldschool.runescape.wiki/images/3rd_age_platebody.png,10348,Fabulously ancient armour beaten from magical silver.,https://oldschool.runescape.wiki/images/Member_icon.png,200000,80000,8,120000
3rd age platelegs,https://oldschool.runescape.wiki/images/3rd_age_platelegs.png,10346,Fabulously ancient armour beaten from magical silver.,https://oldschool.runescape.wiki/images/Member_icon.png,200000,80000,8,120000
3rd age plateskirt,https://oldschool.runescape.wiki/images/3rd_age_plateskirt.png,23242,Fabulously ancient armour beaten from magical silver.,https://oldschool.runescape.wiki/images/Member_icon.png,200000,80000,8,120000
3rd age range coif,https://oldschool.runescape.wiki/images/3rd_age_range_coif.png,10334,Fabulously ancient range protection crafted from white dragonhide.,https://oldschool.runescape.wiki/images/Member_icon.png,50400,20160,8,30240
3rd age range legs,https://oldschool.runescape.wiki/images/3rd_age_range_legs.png,10332,Fabulously ancient range protection crafted from white dragonhide.,https://oldschool.runescape.wiki/images/Member_icon.png,50600,20240,8,30360
3rd age range top,https://oldschool.runescape.wiki/images/3rd_age_range_top.png,10330,Fabulously ancient range protection crafted from white dragonhide.,https://oldschool.runescape.wiki/images/Member_icon.png,50800,20320,8,30480
3rd age robe,https://oldschool.runescape.wiki/images/3rd_age_robe.png,10340,Fabulously ancient mage protection enchanted in the 3rd Age.,https://oldschool.runescape.wiki/images/Member_icon.png,50600,20240,8,30360
3rd age robe top,https://oldschool.runescape.wiki/images/3rd_age_robe_top.png,10338,Fabulously ancient mage protection enchanted in the 3rd Age.,https://oldschool.runescape.wiki/images/Member_icon.png,50800,20320,8,30480
3rd age vambraces,https://oldschool.runescape.wiki/images/3rd_age_vambraces.png,10336,Fabulously ancient range protection crafted from white dragonhide.,https://oldschool.runescape.wiki/images/Member_icon.png,50500,20200,8,30300
3rd age wand,https://oldschool.runescape.wiki/images/3rd_age_wand.png,12422,A beautifully crafted wand infused by ancient wizards.,https://oldschool.runescape.wiki/images/Member_icon.png,150000,60000,8,90000
A powdered wig,https://oldschool.runescape.wiki/images/A_powdered_wig.png,10392,A big do about nothing.,https://oldschool.runescape.wiki/images/Member_icon.png,2000,800,4,1200
Abyssal ashes,https://oldschool.runescape.wiki/images/Abyssal_ashes.png,25775,A heap of ashes.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,7500,1
Abyssal bludgeon,https://oldschool.runescape.wiki/images/Abyssal_bludgeon.png,13263,Elements of deceased Abyssal Sires have been fused together.,https://oldschool.runescape.wiki/images/Member_icon.png,260000,104000,8,156000
Abyssal bracelet(5),https://oldschool.runescape.wiki/images/Abyssal_bracelet.png,11095,Makes using the Abyss just slightly safer.,https://oldschool.runescape.wiki/images/Member_icon.png,4200,1680,10000,2520
Abyssal dagger,https://oldschool.runescape.wiki/images/Abyssal_dagger.png,13265,Something sharp from the body of a defeated Abyssal Sire.,https://oldschool.runescape.wiki/images/Member_icon.png,115001,46000,8,69000
Abyssal dagger (p),https://oldschool.runescape.wiki/images/Abyssal_dagger_(p).png,13267,Something sharp and poisonous from the body of a defeated Abyssal Sire.,https://oldschool.runescape.wiki/images/Member_icon.png,115002,46000,8,69001
Abyssal dagger (p+),https://oldschool.runescape.wiki/images/Abyssal_dagger_(p+).png,13269,Something sharp and very poisonous from the body of a defeated Abyssal Sire.,https://oldschool.runescape.wiki/images/Member_icon.png,115003,46001,8,69001
Abyssal dagger (p++),https://oldschool.runescape.wiki/images/Abyssal_dagger_(p++).png,13271,Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,https://oldschool.runescape.wiki/images/Member_icon.png,115004,46001,8,69002
Abyssal whip,https://oldschool.runescape.wiki/images/Abyssal_whip.png,4151,A weapon from the Abyss.,https://oldschool.runescape.wiki/images/Member_icon.png,120001,48000,70,72000
Accursed sceptre (au),https://oldschool.runescape.wiki/images/Accursed_sceptre_(au).png,27676,A mighty sceptre used in long forgotten battles.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,0,1
Accursed sceptre (u),https://oldschool.runescape.wiki/images/Accursed_sceptre_(u).png,27662,"A mighty sceptre from long forgotten battles, corrupted by the power of Vet'ion.",https://oldschool.runescape.wiki/images/Member_icon.png,1,1,0,1
Achey tree logs,https://oldschool.runescape.wiki/images/Achey_tree_logs.png,2862,These logs are longer than normal.,https://oldschool.runescape.wiki/images/Member_icon.png,4,1,13000,2
Acorn,https://oldschool.runescape.wiki/images/Acorn_5.png,5312,Plant this in a plantpot of soil to grow a sapling.,https://oldschool.runescape.wiki/images/Member_icon.png,6,2,200,3
Adamant 2h axe,https://oldschool.runescape.wiki/images/Adamant_2h_axe.png,28211,A woodcutter's axe.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,1,1,0,1
Adamant 2h sword,https://oldschool.runescape.wiki/images/Adamant_2h_sword.png,1317,A two handed sword.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,6400,2560,125,3840
Adamant arrow,https://oldschool.runescape.wiki/images/Adamant_arrow_5.png,890,Arrows with adamant heads.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,80,32,11000,48
Adamant arrow(p),https://oldschool.runescape.wiki/images/Adamant_arrow(p)_5.png,891,Venomous-looking arrows.,https://oldschool.runescape.wiki/images/Member_icon.png,80,32,11000,48
Adamant arrow(p+),https://oldschool.runescape.wiki/images/Adamant_arrow(p+)_5.png,5620,Venomous-looking arrows.,https://oldschool.runescape.wiki/images/Member_icon.png,80,32,11000,48
Adamant arrow(p++),https://oldschool.runescape.wiki/images/Adamant_arrow(p++)_5.png,5626,Venomous-looking arrows.,https://oldschool.runescape.wiki/images/Member_icon.png,80,32,11000,48
Adamant arrowtips,https://oldschool.runescape.wiki/images/Adamant_arrowtips.png,43,I can make some arrows with these.,https://oldschool.runescape.wiki/images/Member_icon.png,40,16,10000,24
Adamant axe,https://oldschool.runescape.wiki/images/Adamant_axe.png,1357,A powerful axe.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,1280,512,40,768
Adamant battleaxe,https://oldschool.runescape.wiki/images/Adamant_battleaxe.png,1371,A vicious looking axe.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,4160,1664,125,2496
Adamant bolts,https://oldschool.runescape.wiki/images/Adamant_bolts_5.png,9143,Adamantite crossbow bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,58,23,11000,34
Adamant bolts (p),https://oldschool.runescape.wiki/images/Adamant_bolts_(p)_5.png,9290,Some poisoned adamantite bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,58,23,11000,34
Adamant bolts (p+),https://oldschool.runescape.wiki/images/Adamant_bolts_(p+)_5.png,9297,Some poisoned adamantite bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,58,23,11000,34
Adamant bolts (p++),https://oldschool.runescape.wiki/images/Adamant_bolts_(p++)_5.png,9304,Super poisoned adamantite bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,58,23,11000,34
Adamant bolts(unf),https://oldschool.runescape.wiki/images/Adamant_bolts(unf)_5.png,9380,Unfeathered adamantite crossbow bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,13000,1
Adamant boots,https://oldschool.runescape.wiki/images/Adamant_boots.png,4129,These will protect my feet.,https://oldschool.runescape.wiki/images/Member_icon.png,1920,768,125,1152
Adamant brutal,https://oldschool.runescape.wiki/images/Adamant_brutal_5.png,4798,Blunt adamantite arrow... ouch.,https://oldschool.runescape.wiki/images/Member_icon.png,95,38,11000,57
Adamant cane,https://oldschool.runescape.wiki/images/Adamant_cane.png,12377,A diamond topped cane.,https://oldschool.runescape.wiki/images/Member_icon.png,1440,576,4,864
Adamant chainbody,https://oldschool.runescape.wiki/images/Adamant_chainbody.png,1111,A series of connected metal rings.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,4800,1920,125,2880
Adamant claws,https://oldschool.runescape.wiki/images/Adamant_claws.png,3100,A set of fighting claws.,https://oldschool.runescape.wiki/images/Member_icon.png,1200,480,125,720
Adamant crossbow,https://oldschool.runescape.wiki/images/Adamant_crossbow.png,9183,An adamantite crossbow.,https://oldschool.runescape.wiki/images/Member_icon.png,1767,706,70,1060
Adamant crossbow (u),https://oldschool.runescape.wiki/images/Adamant_crossbow_(u).png,9463,An unstrung adamantite crossbow.,https://oldschool.runescape.wiki/images/Member_icon.png,1733,693,10000,1039
Adamant dagger,https://oldschool.runescape.wiki/images/Adamant_dagger.png,1211,Short and deadly.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,800,320,125,480
Adamant dagger(p),https://oldschool.runescape.wiki/images/Adamant_dagger(p).png,1227,A very dangerous poisoned dagger.,https://oldschool.runescape.wiki/images/Member_icon.png,800,320,125,480
Adamant dagger(p+),https://oldschool.runescape.wiki/images/Adamant_dagger(p+).png,5676,A very dangerous poisoned dagger.,https://oldschool.runescape.wiki/images/Member_icon.png,800,320,125,480
Adamant dagger(p++),https://oldschool.runescape.wiki/images/Adamant_dagger(p++).png,5694,A very dangerous poisoned dagger.,https://oldschool.runescape.wiki/images/Member_icon.png,800,320,125,480
